"Date Made Public","Name","Entity","Type","Street Address","Location",", ","Postal Code","Total Records","Records Breached","","","","","Attached files","","All terms"
"November 1, 2007","City University of New York","EDU","PORT","","New York","New York","","20,000","20,000","","A broken laptop containing personal 
            information was taken from the School's financial aid office.","","Dataloss DB","","20000","2007"
"November 2, 2007","Montana State University","EDU","PORT","","Bozeman","Montana","","216","216","(406) 994-6550 http://eu.montana.edu/security","MSU learned that an employee's 
            laptop computer had been stolen somewhere off-campus. It contained 
            the Social Security numbers of 216 students and employees who lived 
            in on-campus housing from 1998 to 2007.","","Dataloss DB","","216","2007"
"November 2, 2007","Montana State University","EDU","DISC","","Bozeman","Montana","","42","42","(406) 994-6550 http://eu.montana.edu/security","An independent security watchdog 
            group informed MSU that an Excel spreadsheet with the names and Social 
            Security numbers of 42 people, most of them hired in the summer of 
            2006, was publicly accessible on MSU's Web site.","","Dataloss DB","","42","2007"
"November 2, 2007","Montana State University","EDU","DISC","","Bozeman","Montana","","13","13","   (406) 994-6550, http://eu.montana.edu/security","While investigating that breach, 
            MSU data-security staff found another Excel spreadsheet accidentally 
            posted on the MSU Web site since 2002. It contained the Social Security 
            numbers of 13 people who got travel vouchers from the computer science 
            department in the College of Engineering.","","Dataloss DB","","13","2007"
"November 5, 2007","Alabama Department of Public Health","GOV","DISC","","Montgomery","Alabama","","1,554","1,554 (at least 1,554 people) ","","The personal information, including              the names, ages and Social Security numbers of families enrolled in              the state's ALL Kids health care coverage program, were accidentally              sent to the wrong families last week. 1,554 affected families were              alerted that some of their confidential information might have been              released.","","Dataloss DB","","1554","2007"
"November 6, 2007","Butte Community Bank","BSF","PORT","","Chico","California","","","Unknown","(866) 488-8588 ","A laptop with customers' personal 
            information including names, addresses, Social Security numbers and 
            bank account numbers was stolen from Butte Community Bank.","","Dataloss DB","","","2007"
"November 7, 2007","University of Connecticut Foundation, Convio","NGO","HACK","","Storrs","Connecticut","","","Unknown","(800) 269-9965, security@foundation.uconn.edu","UConn was notified of a security 
            breach by an outside party on the network of Convio, Inc., a vendor 
            used by The University of Connecticut Foundation, Inc. for processing 
            online gift transactions and communicating by e-mail. This breach 
            affected 92 of Convio's clients nationwide, including the UConn 
            Foundation. User names and passwords for Convio account preferences 
            were compromised in this breach.","","Media","","","2007"
"November 7, 2007","Carolinas Medical Center, NorthEast","MED","PORT","","Concord","North Carolina","","28,000","28,000","","A paramedic left a computer on 
            the back bumper of an ambulance and then drove away. The laptop contains 
            names, addresses, phone numbers and Social Security numbers of approximately 
            28,000 people who have been cared for by the Cabarrus County EMS over 
            the last four years.","","Dataloss DB","","28000","2007"
"November 13, 2007","Commerce Bancorp","BSF","INSD","","Philadelphia","Pennsylvania","","","Unknown","","A Commerce Bancorp Inc. employee 
            gave out personal information on an unspecified number of the Cherry 
            Hill bank's customers. The Bank discovered the breach through an internal 
            investigation and sent letters to affected customers. The bank does 
            not know if the information included account numbers and Social Security 
            numbers.  It is unclear if this incident is related to or the same as the January 5 insider breach that involved a Commerce Bank employee.","","Dataloss DB","","","2007"
"November 15, 2007","Roudebush Veteran's Administration Medical Center","MED","STAT","","Indianapolis","Indiana","","12,000","12,000","","Two personal computers and a 
            laptop computer were allegedly stolen from an unsecured room. One 
            of the stolen computers contained the names, Social Security numbers 
            and dates of service of approximately 12,000 veterans. UPDATE
            (3/19/08) : A 50 year old Indianapolis man was arrested Monday on 
            one count of Class D felony theft after investigators identified him 
            from surveillance video. A probable cause affidavit, a sworn police 
            statement filed in support of the charge, identifies him as a former 
            patient at the facility.The man has been charged in the disappearance 
            of hospital computer equipment that contained the records of nearly 
            12,000 patients.","","Dataloss DB","","12000","2007"
"November 16, 2007","A.J. Falciani Realty Company","BSO","STAT","","Vineland","New Jersey","","","Unknown","","Computers containing the personal 
            information of between 500 to 1,000 clients of A.J. Falciani Realty 
            Company were taken in a burglary. Many of the stolen computers stored 
            the names, addresses, Social Security numbers, dates of birth, telephone 
            numbers and other information on the company's clients.","","Dataloss DB","","","2007"
"November 16, 2007","University of Wisconsin, Whitewater","EDU","DISC","","Whitewater","Wisconsin","","","Unknown","","Officials were notified by one 
            individual about his ability to access an online search feature for 
            the school's website. The search feature could be used to see student 
            names and Social Security numbers along with some other limited student 
            information. Access to the feature was promptly disabled upon notification 
            of the problem.","","Media","","","2007"
"November 16, 2007","U.S. Department of Veteran Affairs","GOV","INSD","","Washington","District Of Columbia","","185,000","185,000","","Investigation from a man's home 
            uncovered a computer that held about 1.8 million Social Security numbers 
            from the U.S. Department of Veteran Affairs, where he had been employed 
            as an auditor. Veterans Affairs' officials have said only 185,000 
            numbers are at risk because many were repeated in the file.","","Dataloss DB","","185000","2007"
"November 21, 2007","University of Florida","EDU","DISC","","Gainesville","Florida","","415","415","Those who suspect their Social Security numbers were posted can search their names on the Web site www.ssnbreach.org.","More than 400 former UF students 
              might have been put at risk for identity theft after their Social 
              Security numbers were posted on UF's Computing & Networking 
              Services Web site. A news release from the Liberty Coalition, a 
              group that works to preserve the privacy of individuals, said 14 
              files on the Web site contained sensitive information 
              of 534 former UF students, including 415 Social Security numbers.","","Dataloss DB","","415","2007"
"November 21, 2007","United Healthcare (UnitedHealthcare)","MED","DISC","","New York","New York","","","Unknown","UnitedHealthcare is headquartered in Minneapolis, Minnesota.","United Healthcare posted the Social 
            Security numbers of doctors at Columbia University's faculty 
            practice on a public Web site. United posted the taxpayer identification 
            numbers, some of which were Social Security numbers, alongside the 
            names of 993 providers at Columbia who participate in the insurer's 
            network. The list was supposed to be accessible to Columbia employees 
            during the current open enrollment period.","","Media","","","2007"
"November 29, 2007","American Red Cross","NGO","PHYS","","Dallas","Texas","","","Unknown","","Six boxes were left unattended 
            in a public hallway for more than six hours. The files contained personal 
            information of current and former employees and were placed there 
            by human resources. Names, addresses and social security numbers could 
            have easily been stolen. The files also contained embarrassing information, 
            including disciplinary actions, results from a drug test, a sexual 
            harassment case even someone's criminal record from another state.","","Media","","","2007"
"November 30, 2007","Prescription Advantage","MED","UNKN","","Boston","Massachusetts","","150,000","150,000"," (866) 523-6846 or (877) 610-0241 for those who are hearing impaired.","The state of Massachusetts is 
            warning 150,000 members of its Prescription Advantage insurance program 
            that their personal information may have been snatched by an identity 
            thief. Local authorities arrested a lone identity thief who had been 
            using information taken from the program in an attempted identity 
            theft scheme. Although the thief used information from just a small 
            number of participants in the scheme, state data-breach laws require 
            that the 150,000 people who could have possibly been affected by the 
            breach be contacted.","","Dataloss DB","","150000","2007"
"December 1, 2007","Battelle & Battelle LLC","BSO","PORT","","Oakwood","Ohio","","600","600","Other organizations: Community Blood Bank, Ohio Masonic Home","A laptop was stolen from a Battelle & Battelle LLC employee's vehicle.  The laptop contained information on an audit of the Community Blood Center's 401K plan as well as information on the employees of Springfield-based Ohio Masonic Home.  The stolen laptop needs multiple levels of authentication in order to access the sensitive data, according to a representative of Battelle.  Masonic Home officials report 600 of its employees were affected.","","Dataloss DB","","600","2007"
"December 4, 2007","Indianapolis Power and Light","BSO","DISC","","Indianapolis","Indiana","","3,000","3,000","(317) 261-4845","The private information of thousands 
            of customers was inadvertently posted online for up to four years. 
            Data included names, addresses and Social Security numbers.","","Dataloss DB","","3000","2007"
"December 4, 2007","Duke University","EDU","HACK","","Durham","North Carolina","","1,400","1,400","","Social Security numbers of about 
            1,400 prospective law school applicants may have been compromised 
            when a school Web site was accessed illegally.","","Dataloss DB","","1400","2007"
"December 5, 2007","Memorial Blood Centers","MED","PORT","","Duluth","Minnesota","","268,000","268,000","Hot Line (888) 333-1491 Contacts: Memorial Blood Centers Laura Kaplan, (651) 332-7220 lkaplan@mbc.org or Jim McCartney, (952) 346-6688 ","A laptop computer holding donor 
            information was stolen. About 268,000 donor records on this laptop 
            computer contain a donor name in combination with the donor's 
            Social Security number.","","Dataloss DB","","268000","2007"
"December 5, 2007","Forrester Research","BSO","PORT","","Cambridge","Massachusetts","","","unknown","","Thieves stole a laptop from the 
            home of a Forrester Research employee, potentially exposing the names, 
            addresses and Social Security numbers of an undisclosed number of 
            current and former employees and directors.","","Dataloss DB","","","2007"
"December 6, 2007","Oak Ridge National Laboratory","GOV","HACK","","Oak Ridge","Tennessee","","12,000","12,000","","Hackers may have infiltrated a 
            non-classified database containing names, Social Security numbers 
            and birth dates of every lab visitor between 1990 and 2004. The assault 
            was in the form of phony e-mails containing attachments, which when 
            opened allowed hackers to penetrate the lab's computer security. 
            The lab has sent letters to about 12,000 
            potential victims. ","","Dataloss DB","","12000","2007"
"December 7, 2007","Beacon Medical Services","MED","DISC","","Aurora","Colorado","","","Unknown","","Detailed, personally identifiable 
            medical records of thousands of Colorado residents were viewable on 
            a publicly accessible Internet site for an uncertain period of time. 
            The data included details of patients' visits to emergency rooms -- 
            what ailments they complained of, diagnoses, treatments, and medical 
            histories, along with the patients' names, occupations, addresses, 
            phone numbers, insurance providers, and in some cases, Social Security 
            numbers. The company is trying to determine the exact number of patients 
            affected, but Beck says the number looks to be fewer than 5,000.","","Dataloss DB","","","2007"
"December 7, 2007","Colorado Board of Dental Examiners","GOV","PHYS","","Lone Tree","Colorado","","100","100","","More than a hundred Colorado dentists 
            and their patients could be at risk for identity theft after a car 
            containing a bag of sensitive information was stolen. Authorities 
            found the car a few days later at an apartment complex where one of 
            the alleged thieves lived. Inside the unit, police discovered a massive 
            amount of personal information from previous crimes. Social Security 
            numbers, dates of birth, credit card numbers, pin numbers 
            to those credit cards, and photo IDs of the individuals 
            they stole credit cards from were all in the bag.","","Dataloss DB","","100","2007"
"December 10, 2007","Cameron County","GOV","UNKN","","Brownsville","Texas","","","Unknown","","An employee released an e-mail 
            with a list of all county officials and employees. It reportedly contained 
            names, Social Security numbers, and salaries.","","Dataloss DB","","","2007"
"December 10, 2007","Sutter Lakeside Hospital","MED","PORT","","Lakeport","California","","","45,000             Not added to total. It is not clear if SSNs or financial account numbers              were exposed."," (866) 785-6443","A laptop computer containing personal              and medical information of approximately 45,000 former patients, employees              and physicians has been stolen from the residence of a contractor.","","Dataloss DB","","","2007"
"December 10, 2007","Iowa Department of Natural Resources","GOV","PORT","","Des Moines","Iowa","","7,000","7,000","","A contractor working for the DNR 
            revealed that a computer jump drive containing the names and Social 
            Security numbers for 7000 people is missing. The contractor believes 
            the jump drive fell off of his desk and into a garbage can.","","Dataloss DB","","7000","2007"
"December 14, 2007","Deloitte & Touche","BSO","PORT","","New York","New York","","","Unknown","","A laptop containing the personal 
            information of an undisclosed number of Deloitte & Touche partners, 
            principals and employees was stolen while in possession of a contractor 
            responsible for scanning the accounting firm's pension fund documents. 
            The computer contained confidential data, including names, Social 
            Security numbers, birth dates, and other personnel information, such 
            as hire and termination dates.","","Dataloss DB","","","2007"
"December 17, 2007","West Penn Allegheny Health System","MED","PORT","","Pittsburgh","Pennsylvania","","42,000","42,000","    (866) 559-6309 Monday through Friday from 10 a.m. to 6 p.m. or e-mail the hospital at askquestions@wpahs.org.","The names, Social Security numbers, 
            phone numbers, addresses and patient care information of 42,000 patients 
            were all on a laptop computer stolen from a nurse's home. Only 
            home care and hospice patients could be impacted, not patients at 
            the hospitals.","","Dataloss DB","","42000","2007"
"December 18, 2007","Brownsville School District","EDU","PHYS","","Brownsville","Pennsylvania","","","Unknown","","Forms with employee personal information 
            littered the fence of a Brownsville school district warehouse. Information 
            on litter contained confidential letters with names, bank account 
            numbers, and Social Security numbers. The forms may be more than ten 
            years old, but they each contain information that's still valuable.","","Media","","","2007"
"December 18, 2007","Pennsylvania Department of Aging","GOV","PORT","","Harrisburg","Pennsylvania","","21,000","21,000","","A state Department of Aging-owned 
            laptop computer containing personal information on senior citizens 
            was stolen from a Johnstown home. The information included names, 
            addresses, Social Security numbers and some medical information.","","Dataloss DB","","21000","2007"
"December 20, 2007","Dormitory Authority of the State of New York","NGO","PORT","","Manhattan","New York","","800","800","","Data tapes containing Social Security 
            numbers, phone numbers and addresses for up to 800 current and former 
            employees of the state Dormitory Authority are missing.","","Dataloss DB","","800","2007"
"December 20, 2007","Greenville County School District","EDU","HACK","","Greenville","South Carolina","","","Unknown","","The district notified employees 
            last week that its computers had been compromised and that employees' 
            personal information was taken, including their names, home phone 
            numbers and Social Security numbers.","","Dataloss DB","","","2007"
"December 21, 2008","Connecticut Department of Motor  Vehicles","GOV","PHYS","","Wethersfield","Connecticut","","155","155","","The Connecticut Department of 
            Motor Vehicles is notifying customers that their personal information 
            may have been on a computer stolen from a mobile service center vehicle 
            while it was being repaired. Personal data on the computer included 
            names, addresses, date of birth, license numbers, photo and signature.","","Media","","155","2008"
"December 21, 2007","Franklin County Municipal Court","GOV","HACK","","Columbus","Ohio","","270","270","","At least six central Ohioans are 
            now under investigation by the U.S. Secret Service for hacking into 
            a government Web site and stealing Social Security numbers to create 
            false credit accounts. More than 270 people nationwide might have 
            been victimized by a security lapse in the Franklin County Municipal 
            Court Web site. Someone was randomly feeding Social Security numbers 
            into a clerk's site, which contained personal information for thousands 
            of people charged with misdemeanors, some guilty of only a speeding 
            ticket. Once a number was hit on, the name, address, age and other 
            information could be used to obtain credit cards and open bank accounts.UPDATE (1/21/2011): Two people were sentenced to two and a half years in federal prison. Each man was charged with bank fraud, conspiracy to commit bank fraud and aggravated identity theft.","","Dataloss DB","","270","2007"
"December 28, 2007","Minnesota Department of Commerce","GOV","PORT","","St. Paul","Minnesota","","219","219","","A laptop computer containing personal 
            information on Minnesotans licensed by the state Commerce Department 
            was stolen from one of its Pennsylvania vendors.","","Dataloss DB","","219","2007"
"December 28, 2007","Davidson County Election Commission","GOV","PORT","","Nashville","Tennessee","","337,000","337,000","","Someone broke into several county 
            offices over Christmas and stole laptop computers that county officials 
            now believe may have contained Social Security numbers and other personal 
            information for every registered voter in Davidson County. UPDATE
            (1/19/08): Metro Police confirmed late Thursday they have recovered 
            the hard drive from the laptop computer, containing names and complete 
            Social Security numbers for 337,000 registered voters, that was stolen 
            from the Election Commission in December.","","Dataloss DB","","337000","2007"
"December 28, 2007","United States Air Force","GOV","PORT","","Washington","District Of Columbia","","10,501","10,501","","A military laptop computer is 
            missing and it contains personal information including Social Security 
            numbers, birth dates, addresses, and telephone numbers of active and 
            retired Air Force members. The laptop belonged to an Air Force band 
            member at Bolling Air Force Base, he reported it missing from his 
            home.","","Dataloss DB","","10501","2007"
"January 2, 2008","Workers Compensation Fund","BSO","PORT","","Salt Lake City","Utah","","2,800","2,800","","Officials with one of Utah's largest 
            insurance companies are searching for a stolen laptop containing Social 
            Security numbers and other personal information for about 2,800 people 
            and 1,400 companies. The computer was taken from a car parked in the 
            home garage of an auditor for the Workers Compensation Fund.","","Dataloss DB","","2800","2008"
"January 3, 2008","Robotics Industries Association","BSO","HACK","","Ann Arbor","Michigan","","","Unknown","","A hacker accessed the administration 
            site for Robotics Online gaining access to individual orders that 
            contained credit card information. Seven residents of NH were affected, 
            but national totals were not indicated.","","Media","","","2008"
"January 3, 2008","Dorothy Hains Elementary School","EDU","STAT","","Augusta","Georgia","","","Unknown","","The library door was kicked in 
            and the circulation computer was stolen, something the principal desperately 
            wants back because it has the Social Security numbers of students 
            and teachers on it.","","Dataloss DB","","","2008"
"January 4, 2008","Health Net","MED","PORT","","Mountain View","California","","5,000","5,000","Additional locations: Connecticut.","Thousands of Health Net employees 
            in Connecticut and other states have been notified that their names 
            and Social Security numbers were on a laptop computer that was stolen 
            more than a month ago from a company vendor. The laptop had information 
            on about 5,000 employees companywide and an undisclosed number of 
            health-care providers outside the Northeast.","","Dataloss DB","","5000","2008"
"January 4, 2008","Florida Department of Children and Families","GOV","PORT","","Orange","Florida","","1,200","1,200","Additional locations: Seminole and Osceola, FL","Social Security numbers, birth 
            dates and other information about day-care workers in Orange, Seminole 
            and Osceola counties were among the data on five laptop computers 
            that were stolen from the DCF office near Orlando.","","Dataloss DB","","1200","2008"
"January 4, 2008","Maryland Department of Assessments and Taxation","GOV","DISC","","Baltimore","Maryland","","900","900","","The Maryland Department of Assessments 
            and Taxation Web site may have exposed Social Security numbers online 
            because the application system did not have a necessary security certificate 
            to encrypt the information before it was sent out over the Internet. 
            Roughly 900 people used the system.","","Dataloss DB","","900","2008"
"January 5, 2008","New Mexico State University","EDU","PORT","","Las Cruces","New Mexico","","","Unknown","","A computer hard drive containing 
            the names and Social Security numbers of current and former NMSU employees 
            is missing from the Pan American Center.","","Dataloss DB","","","2008"
"January 7, 2008","Sears, ManageMyHome.com","BSR","DISC","","Cook County","Illinois","","","Unknown","","Sears' ManageMyHome.com site exposed 
            customer purchase data to any online visitor who asked about it.","","Media","","","2008"
"January 7, 2008","Geeks.com","BSR","HACK","","Oceanside","California","","","Unknown","","Personal and financial data may 
            have been compromised by an intrusion into the systems of the online 
            retailer's Web site. Compromised information included the names, addresses, 
            telephone numbers and Visa credit card numbers.","","Dataloss DB","","","2008"
"January 8, 2008","Wisconsin Department of Health and Family Services","GOV","DISC","","Madison","Wisconsin","","260,000","260,000","","Social Security numbers were printed 
            on about 260,000 informational brochures sent by a vendor hired by 
            the state, Electronic Data Systems Inc. (EDS), to recipients of SeniorCare, 
            BadgerCare and Medicaid. The company agreed to pay $250,000 to the 
            state for the mistake, as well as paying for an identity theft monitoring 
            service for the affected individuals, for a total of about $1 million.","","Dataloss DB","","260000","2008"
"January 8, 2008","University of Georgia","EDU","HACK","","Athens","Georgia","","4,250","4,250","","Former and prospective residents 
            of a University housing complex were affected by a hacker who was able 
            to access a server containing personal information, including Social 
            Security numbers. A computer with an overseas IP address was able 
            to access the personal information  -  including Social Security 
            numbers, names and addresses  -  of 540 current graduate students 
            living in graduate family housing and 3,710 former students and applicants.","","Dataloss DB","","4250","2008"
"January 10, 2008","Select Physical Therapy","MED","PHYS","","Levelland","Texas","","4,000","4,000","","The company dumped about 4,000 
            pieces of sensitive customer information in garbage containers behind 
            its facility. The records included Social Security numbers, credit 
            and debit card account numbers, names, addresses and telephone numbers.","","Dataloss DB","","4000","2008"
"January 11, 2008","University of Akron","EDU","PORT","","Akron","Ohio","","800","800","","A portable hard drive containing 
              personal information is missing and may have been discarded or destroyed. 
              The device contained Social Security numbers, names and addresses 
              of students and graduates.","","Dataloss DB","","800","2008"
"January 11, 2008","University of Iowa","EDU","DISC","","Iowa City","Iowa","","216","216","","Iowa College of Engineering has 
            notified some of its former students that some of their personal information, 
            including Social Security numbers, was inadvertently exposed on the 
            Internet for several months.","","Dataloss DB","","216","2008"
"January 11, 2008","Virginia Department of Social Services","GOV","INSD","","Richmond","Virginia","","1,500","1,500","","The Department of Social Services 
            has mailed about 1,500 letters to warn of a potential security 
            breach involving a department computer that police suspect was 
            used to commit fraud. A woman is accused of using her work computer 
            while employed by Social Services last summer to apply for a credit 
            card using her landlord's information. She was charged with two felony 
            counts, credit card fraud and forgery, and is accused of spending 
            nearly $1,000 on the card.","","Dataloss DB","","1500","2008"
"January 12, 2008","California State University Stanislaus, Sodexho","EDU","UNKN","","Turlock","California","","","Unknown","","A possible data breach occurred 
            on a food vendor's computer server. Credit card numbers, cardholder 
            names and expiration dates were exposed, leaving hundreds, possibly 
            thousands, of university students, staff and guests open to identity 
            theft, with victims reporting fake charges on their cards. Social 
            Security numbers were not accessible.","","Dataloss DB","","","2008"
"January 14, 2008","Tennessee Tech University","EDU","PORT","","Cookeville","Tennessee","","990","990","","A portable storage drive containing 
            the names and Social Security numbers of 990 students has been lost. 
            A school employee transferred the information onto a portable flash 
            drive when the printer where he was working did not print. The employee 
            noticed the drive was missing the next morning.","","Dataloss DB","","990","2008"
"January 15, 2008","Department of Revenue Wisconsin","GOV","PHYS","","Madison","Wisconsin","","5,000","5,000","Breach locations:   Lena, Marinette, Little Suamico, Freedom, Kaukauna, Kimberly, Little Chute, Krakow, Keshena and Lakewood","Taxpayers in northeastern Wisconsin 
            had their Social Security numbers exposed in a state mailing. A folding 
            error, apparently the result of a faulty machine, allowed the Social 
            Security numbers to be seen through the clear address window of the 
            envelope.","","Dataloss DB","","5000","2008"
"January 15, 2008","Naval Surface Warfare Center Dahlgren Division","GOV","PHYS","","White Oak","Maryland","","","Unknown","(800) 352-7967 ","Officials at the Naval Surface 
            Warfare Center are warning past and present employees that their identities 
            and credit ratings could be at risk. Two pages of a Naval Surface 
            Warfare Center Employment Verification Report was found when four 
            people were arrested in Bensalem Township, Pa., last week for attempted 
            identity fraud. The report included names, Social Security numbers, 
            birth dates, position titles, tenure codes, pay grades, salaries and 
            other information about the employees.","","Dataloss DB","","","2008"
"January 16, 2008","University of Wisconsin, Madison","EDU","DISC","","Madison","Wisconsin","","205","205","","The personal information, including 
            e-mail addresses, phone numbers, Social Security numbers and campus 
            ID numbers of faculty and staff who made purchases from the DoIT computer 
            shop had been accessible on a campus Internet site.","","Dataloss DB","","205","2008"
"January 17, 2008","GE Money ,  Iron Mountain","BSF","PORT","","Boston","Massachusetts","","150,000","150,000","","Personal information on customers 
            of J.C. Penney and up to 100 other retailers could be compromised 
            after a computer tape went missing. The missing information includes 
            Social Security numbers for about 150,000 people.","","Dataloss DB","","150000","2008"
"January 23, 2008","Baylor University","EDU","INSD","","Waco","Texas","","","Unknown","","A student employee breached the 
            security of the Baylor Information Network to access the Bear ID and 
            passwords of those logging on to the BIN. This access didn't include 
            sensitive information like Social Security Numbers, financial information 
            or academic records. It was just unlawful access to Bear IDs and passwords. 
            The information did, however, give access to Baylor e-mail and Blackboard 
            accounts.","","Media","","","2008"
"January 24, 2008","Fallon Community Health Plan","MED","PORT","","Worcester","Massachusetts","","29,800","29800","","A vendor computer containing personal 
            information on patients of Fallon Community Health Plan has been stolen. 
            The data included names, dates of birth, some diagnostic information 
            and medical ID numbers. Some of which may be based on Social Security 
            numbers.","","Dataloss DB","","29800","2008"
"January 24, 2008","OmniAmerican Bank","BSF","HACK","","Fort Worth","Texas","","","Unknown","","An international gang of cyber 
            criminals hacked into the bank's records. They stole account numbers, 
            created new PINs, fabricated debit cards, then withdrew cash from 
            ATMs in Eastern Europe, Russia, Ukraine, Britain, Canada and New York. 
            Fewer than 100 accounts, some of them dormant, were compromised.","","Dataloss DB","","","2008"
"January 25, 2008","Penn State University","EDU","PORT","","University Park","Pennsylvania","","677","677","","A university laptop containing 
            archived information and Social Security numbers for 677 students 
            attending Penn State between 1999 and 2004 was recently stolen from 
            a faculty member.","","Dataloss DB","","677","2008"
"January 28, 2008","T. Rowe Price Retirement Plan Services, CBIZ Benefits and Insurance Services Inc.","BSF","STAT","","Baltimore","Maryland","","35,000","35,000","","Names and Social Security numbers of current and former participants 
            in several hundred retirement plans were compromised when several computers were stolen. The machines were taken from the office of CBIZ Benefits and Insurance Services Inc.","","Dataloss DB","","35000","2008"
"January 29, 2008","Georgetown University","EDU","PORT","","Washington","District Of Columbia","","38,000","38,000","","A hard drive containing the Social 
            Security numbers of Georgetown students, alumni, faculty and staff 
            was reported stolen from the office of Student Affairs.","","Dataloss DB","","38000","2008"
"January 29, 2008","Wake County (NC) Emergency Medical Services","MED","PORT","","Raleigh","North Carolina","","4,733","4733","","A Panasonic Toughbook used by 
            county paramedics to store patient information on ambulance runs went 
            missing from the WakeMed emergency department and now is thought to 
            have been stolen. The laptop contained names, addresses and Social 
            Security numbers. UPDATE
            (2/7/08): 
            The laptop also may have the names and Social Security numbers of 
            emergency personnel. The number includes county paramedics, 
            firefighters and contracted emergency medical technicians and paramedics 
            from municipal agencies.","","Dataloss DB","","4733","2008"
"January 29, 2008","Horizon Blue Cross Blue Shield","MED","PORT","","Newark","New Jersey","","300,000","300,000","","More than 300,000 members names, 
            Social Security numbers and other personal information were contained 
            on a laptop computer that was stolen. The laptop was being taken home 
            by an employee who regularly works with member data.","","Dataloss DB","","300000","2008"
"January 29, 2008","TransUnion, Intelenet Global Services,","BSF","INSD","","Chester","Pennsylvania","","400","400","Additional location: Plano, TX","Credit profiles of as many as 400 Americans have been altered by two employees of Mumbai, India-based 
            Intelenet Global Services, an outsourcing company. The two arrested Intelenet employees had 
            been accessing and altering data of individuals in the datafiles of the credit bureau TransUnion since August 2005. The bank account statements of the two men revealed that money was being deposited 
            from an international source for the past few months.","","Dataloss DB","","400","2008"
"January 30, 2008","Davidson Companies","BSF","HACK","","Great Falls","Montana","","226,000","226,000","","A computer hacker broke into a 
            database and obtained the names and Social Security numbers of virtually 
            all of the Great Falls financial services company's clients. The database 
            also included information such as account numbers and balances.UPDATE (4/12/10): D.A. Davidson was fined $375,000 for failing to adequately protect customer information.  The Financial Industry Regulatory Authority (FINRA) found that the database should have been encrypted and had a blank password in place during the 2007 December 25 and 26 breach.  On January 16, the hacker alerted D.A. Davidson to the incident and the fact that he had downloaded confidential customer information.  The hacker offered to reveal security weaknesses and delete the customer information he had obtained in exchange for $80,000.  The hacker was not caught.UPDATE (11/10/10): A class action settlement was reached for those who were affected by the breach.  Anyone receiving a notification letter from Davidson dated January 29, 2008 is a member of the Davidson data breach lawsuit.  A $1 million settlement fund will be established to reimburse class members for damages related to having their names, Social Security numbers, addresses, emails, account numbers, tax identification numbers, financial consultant's identification numbers, account balances and dates of birth exposed.  Claim forms requesting reimbursement damages must be received by the Settlement Administrator no later than June 1, 2011.","","Dataloss DB","","226000","2008"
"January 31, 2008","South Carolina Department of Health and Environmental Control in Spartanburg, Cherokee, Union, Greenville and Pickens counties","GOV","PORT","","","South Carolina","","400","400","","A laptop containing the names 
            and Social Security numbers of state health department employees is 
            missing. The computer was inside a worker's vehicle when it was stolen 
            last week from a convenience store. State officials say the password-protected 
            computer contains personal information of state health department 
            workers from Spartanburg, Cherokee, Union, Greenville and Pickens 
            counties.","","Dataloss DB","","400","2008"
"January 31, 2008","University of Minnesota Reproductive Medicine Center","MED","PORT","","Minneapolis","Minnesota","","3,100","3,100","","A doctor at the fertility clinic 
            lost a flash drive that was used to back up his computer. The drive 
            held details of infertility treatments for 3,100 patients going back 
            to 1999. The lost drive included names, birthdates, and in some cases, 
            diagnostic information, details of treatments, whether or not patients 
            had conceived, baby names, and birth weights -- but apparently no 
            SSNs or financial information.","","Dataloss DB","","3100","2008"
"February 1, 2008","Marine Corps Bases Japan","GOV","PORT","","Washington","District Of Columbia","","4,000","4,000","Additional location: Okinawa, Japan","A laptop was stolen which contained 
            personally identifiable information for clients of Marine Corps Community 
            Services' New Parent Support Program. The laptop may contain names, 
            ranks, Social Security numbers, dates of birth, children's names and 
            mailing addresses of U.S. military service members, U.S. government 
            employees and Status of Forces Agreement personnel on Okinawa and 
            Marine Corps Air Station Iwakuni. It does not include driver's license 
            numbers or bank and credit card information.","","Dataloss DB","","4000","2008"
"February 2, 2008","Diocese of Providence","NGO","STAT","","Providence","Rhode Island","","5,000","5,000","","Four computers were taken, and 
            one had personal information on current and former Catholic school 
            employees. The theft possibly exposed names, addresses and Social 
            Security numbers.","","Dataloss DB","","5000","2008"
"February 7, 2008","Memorial Hospital","MED","PORT","","South Bend","Indiana","","4,300","4,300","","A laptop containing the personal 
              information of full and part time employees and retirees is missing. 
              The missing computer contains their names, addresses, birth dates, 
              ID numbers and Social Security numbers.","","Dataloss DB","","4300","2008"
"February 8, 2008","MLSgear.com","BSR","HACK","","Louisville","Kentucky","","","Unknown","","Injection attacks on web servers 
            hosted by a third-party service provider has compromised the personal 
            data of an unspecified number of individuals who had shopped on Major 
            League Soccer's MLSgear.com Web site. The compromised information 
            included names, addresses, credit card data, debit card data, and 
            MLSgear.com passwords.","","Dataloss DB","","","2008"
"February 10, 2008","Administrative Systems, Inc","BSO","STAT","","Seattle","Washington","","","Unknown","","A desktop computer stolen from 
            an Administrative Systems, Inc. (ASI) office in Seattle contained 
            names and sensitive information about customers or employees of several 
            of the firm's clients: Continental American Medical, EyeMed Vision/Kelly 
            Services Vision, and Jefferson Pilot Financial Dental. Personal details 
            may have included name, date of birth, mailing address, and Social 
            Security number, depending on the service being provided.","","Dataloss DB","","","2008"
